Age,Sex,Social_Media_Hours,Exercise_Hours,Sleep_Hours,Screen_Time_Hours,Survey_Stress_Score,Wearable_Stress_Score,Support_System,Academic_Performance
17,F,4.5,0.239681063,9.603202239,6.008631795,3,0.604092866,High,Poor
13,M,7.2,2.566457864,4.224109809,10.32757056,2,0.772356923,Moderate,Good
17,M,5.9,0.275688276,7.001587045,8.716655498,3,0.170153752,High,Average
17,F,4.9,2.503362645,9.126537762,3.759416325,2,0.180968563,Low,Poor
13,F,1.9,1.082365203,7.52784549,11.1804757,1,0.028856367,Low,Poor
13,F,4.6,1.83662719,5.661223102,4.455173905,3,0.512450039,Low,Average
13,F,2.5,0.458661347,6.386086811,4.441401187,5,0.654587557,Low,Good
13,F,9.1,0.198506165,8.081593772,10.14178897,3,0.456909582,High,Excellent
16,M,3.4,0.647814612,9.344871366,3.058732556,4,0.38944881,High,Poor
15,M,9.5,0.383561454,4.246398242,4.220359064,3,0.454412817,Moderate,Excellent
15,M,5.3,0.937217693,4.429232931,7.036775734,4,0.781528219,Low,Poor
13,F,6.3,1.54314974,5.950309142,10.30477029,4,0.033514307,High,Poor
15,F,5.4,1.766278391,5.396678107,3.474839747,1,0.783818561,High,Excellent
15,F,1.3,2.369604322,5.589585317,7.476682345,3,0.666342116,Low,Poor
13,F,3.8,1.96871968,5.327619992,9.112405918,1,0.241426554,High,Average
15,M,1.0,1.826274975,5.174950293,10.60595225,5,0.524739726,Low,Good
17,M,6.2,1.235346082,4.783743801,11.3556556,3,0.049290671,Moderate,Average
14,F,4.5,1.421425305,9.603724791,9.846399145,2,0.37958867,Low,Good
14,M,7.8,1.243562488,4.865136783,8.528283982,2,0.174042479,Low,Average
13,M,2.2,2.52649809,5.226422649,6.336200853,2,0.022300386,High,Average
16,F,1.6,0.690001358,5.477594344,3.121101542,4,0.357089498,Moderate,Good
13,F,4.1,0.017162795,9.598089239,9.097371925,2,0.726112417,Moderate,Poor
16,F,9.3,1.953959692,8.534284802,11.92737304,5,0.921021867,High,Excellent
14,F,7.1,0.607386551,8.738196582,9.367605947,3,0.662263513,Moderate,Excellent
13,F,4.2,2.670345409,4.628549557,2.167110937,3,0.401970128,Moderate,Excellent
18,F,5.2,2.577138989,9.01785925,6.96259978,4,0.999496112,Low,Poor
17,M,0.8,0.230182116,6.449158491,8.146466325,4,0.282943508,High,Average
15,M,9.8,0.319165216,5.576938157,8.896742011,4,0.187131433,Moderate,Average
16,F,6.7,1.485514777,7.454500501,9.197258356,5,0.463682269,Moderate,Average
18,M,2.9,1.827667988,8.933097435,7.581084412,3,0.504911415,Moderate,Poor
15,F,5.9,0.824725012,8.671912906,4.233603327,1,0.35482338,Low,Good
15,F,1.1,2.15039315,9.339984895,11.42200661,4,0.695499079,Low,Poor
13,F,9.7,1.784748063,9.568793116,8.966664677,2,0.183864412,High,Excellent
15,F,1.7,0.974472329,5.428732429,4.368400369,1,0.51033976,High,Average
17,M,6.5,0.076114464,6.543147365,5.223218323,1,0.500126959,Low,Poor
18,F,2.5,2.250450844,4.087771235,11.21927671,4,0.823786423,High,Poor
15,M,7.2,0.644260997,9.275929956,10.87485187,2,0.926968199,High,Poor
13,F,7.8,2.50342123,4.927432909,6.051464384,4,0.663265874,High,Good
17,F,6.7,1.26087078,9.168848874,2.38307222,4,0.30537159,Low,Average
14,F,6.1,1.731232328,5.976323932,2.484973689,2,0.68961102,Low,Poor
18,M,8.9,2.618846191,6.20880154,4.839182909,1,0.251371129,Moderate,Poor
15,F,0.8,2.590869003,4.234793527,8.291222193,1,0.96654439,Moderate,Excellent
13,F,3.3,1.114558726,5.961272739,7.841946353,2,0.822362119,Moderate,Average
14,F,2.5,0.626666678,9.330182097,8.338277869,1,0.431190255,Moderate,Poor
14,M,9.9,2.325438233,4.153284407,9.172829719,5,0.784343517,High,Poor
16,M,3.9,1.299240611,6.437964838,2.190322536,4,0.408655645,High,Poor
17,M,7.3,0.576125981,4.188397779,3.050855952,5,0.074610159,Low,Poor
15,F,6.8,2.713276027,6.225540551,5.594834518,5,0.706768873,High,Average
13,M,2.1,0.594312583,5.035843845,3.548599975,5,0.404613833,High,Poor
16,F,2.4,0.077421505,5.51331036,2.753200425,3,0.930319817,High,Good
17,M,2.8,0.060839921,9.265590239,8.40964396,3,0.306561214,Moderate,Poor
16,M,4.1,1.866946069,6.616295324,10.15336477,5,0.843332821,Low,Good
18,F,2.3,1.985025182,5.642787948,9.526266574,4,0.680437845,Moderate,Average
17,M,0.2,0.933125115,7.536030268,10.17039779,5,0.853324616,High,Poor
17,F,8.8,0.960032968,4.852641759,8.658565441,5,0.291881877,High,Excellent
15,F,9.7,1.018481745,5.556349645,9.353453218,3,0.461345403,Low,Good
17,M,3.4,2.04047564,7.277487806,4.717787742,5,0.823129011,Moderate,Good
16,F,3.4,0.174401373,5.425138251,11.93008036,4,0.643818819,High,Poor
17,F,0.1,2.787349058,8.074766424,3.831656545,4,0.359921899,Low,Excellent
15,M,6.8,0.667563133,6.948947814,4.144938744,5,0.511995626,High,Excellent
15,M,8.3,2.999019616,8.631934422,4.889218318,4,0.996098094,High,Poor
18,F,1.5,0.514568081,9.689467214,11.7533243,5,0.741847995,Low,Average
16,M,1.6,2.314639372,4.694829336,11.88288589,3,0.614522653,Low,Average
14,F,7.9,0.670237635,6.00799006,9.948937497,5,0.82791138,High,Poor
14,F,6.2,0.242540405,5.917294377,8.290575986,1,0.442030339,Low,Average
17,M,0.4,2.624799973,4.907097516,7.200625752,3,0.950064005,High,Excellent
18,M,6.2,2.576253778,8.861818824,11.70620846,4,0.552021229,Moderate,Average
13,M,3.1,1.210711177,8.559272224,8.956228029,4,0.32687215,High,Average
17,M,3.7,2.107188428,6.906552825,11.44730128,3,0.086019978,Low,Average
18,F,7.7,1.671197798,7.226624667,5.165507995,1,0.375695219,Moderate,Poor
16,F,8.1,2.558868341,4.357264828,5.337747923,3,0.568638377,Low,Poor
16,M,4.0,0.945167908,7.333044114,10.54724594,2,0.703248139,High,Good
16,M,9.5,1.5710172,8.748049144,3.498549206,1,0.875116693,Low,Average
16,F,4.1,1.456117114,7.442965442,11.45927861,3,0.943960835,High,Poor
16,F,7.7,1.061717479,5.591838221,7.074743547,2,0.102453846,Low,Excellent
18,F,4.8,2.674365194,8.005289634,11.26413879,5,0.600904986,Low,Good
18,F,9.0,0.497633774,6.16893058,5.367927887,1,0.666589649,High,Excellent
15,M,9.1,0.448525919,7.269239706,9.159589041,5,0.172063817,Moderate,Average
14,F,0.9,1.730728606,6.92539218,6.82875122,2,0.54560068,High,Excellent
16,F,9.4,1.97248269,6.287050006,8.268036302,4,0.334833636,Moderate,Good
13,M,8.3,0.583857763,8.313267882,7.043724931,4,0.077417332,Moderate,Average
18,F,7.9,1.172152327,9.303256672,11.67115617,4,0.065865991,Moderate,Poor
13,F,2.0,2.839691529,4.031275111,8.921053978,5,0.75921298,Moderate,Excellent
13,M,8.1,0.739852268,9.601699115,4.513189686,1,0.615455452,High,Excellent
13,M,8.5,2.005082106,7.069090816,11.09676922,5,0.715121678,High,Good
15,M,2.9,2.220448181,8.204391282,4.940297382,5,0.685278155,Moderate,Poor
18,F,9.5,1.344386098,9.133747397,5.716050993,4,0.1343123,Moderate,Average
13,F,0.5,2.81257796,6.802622154,3.02123698,5,0.151565257,Moderate,Average
16,M,1.5,2.209970206,9.00984444,10.9996652,2,0.252483724,Moderate,Average
17,M,5.4,1.37377374,5.065718917,4.861120232,3,0.399100587,Moderate,Good
13,F,5.8,1.708005605,4.955005207,4.589176179,3,0.939176225,Moderate,Excellent
15,M,6.5,2.07784033,7.944828213,11.20262598,3,0.673892361,Low,Excellent
18,M,0.2,1.776570541,9.220858033,10.05526862,4,0.255171934,Moderate,Excellent
15,M,9.6,2.636092751,9.354557065,3.410789215,4,0.055984102,Low,Excellent
13,F,0.4,1.070665987,7.86244275,9.693245039,3,0.684223931,High,Good
18,F,1.4,0.89965722,7.152935381,11.13033098,1,0.625318471,High,Good
17,F,0.1,0.641516668,5.988358526,2.785112182,3,0.675763418,Moderate,Poor
13,F,5.7,0.113348904,9.880002494,10.25214995,5,0.261179654,High,Good
15,F,9.3,0.129041893,5.91817412,7.474200519,3,0.516963217,High,Excellent
14,F,6.7,2.610165579,8.465116643,8.691974494,3,0.361702801,Moderate,Average
16,M,8.2,2.035179439,7.191890799,6.928543389,1,0.817698939,High,Poor
15,F,0.1,1.981597246,7.651074055,8.978030849,4,0.069396662,High,Average
18,F,5.4,1.843928457,6.360883304,2.340978617,4,0.275441789,Moderate,Average
13,M,4.6,2.547657434,9.788938753,9.627067232,5,0.602953744,Moderate,Excellent
16,F,5.0,1.440800777,7.430093957,2.333436979,3,0.205223777,Moderate,Good
13,F,0.7,2.611232486,9.626725783,6.552998477,2,0.672713436,Low,Good
18,M,6.8,1.078335079,4.045548497,3.509649931,5,0.136772503,Moderate,Good
13,M,5.0,2.780122513,7.436023499,10.23574277,4,0.022812292,High,Excellent
14,M,7.7,2.09597094,8.303121338,5.136609092,1,0.863494533,Moderate,Excellent
16,F,4.9,0.771531408,8.470481027,6.540935446,4,0.333444401,Low,Average
16,M,1.5,1.692254765,9.429861291,6.287507413,4,0.156848983,High,Poor
18,F,6.5,1.599091684,4.026409654,9.725019657,1,0.172709026,Low,Good
14,F,1.7,0.413696465,4.001980956,6.811443598,3,0.885895394,High,Good
15,F,8.7,1.773728717,6.833580765,9.88958335,3,0.654431406,Moderate,Poor
13,F,6.1,0.944356871,4.17576223,2.735082768,4,0.956346267,Low,Average
17,M,1.6,0.1570463,9.847195322,3.915939679,5,0.800040323,Moderate,Average
13,M,9.6,2.845968473,5.332391047,7.515342496,2,0.767542685,High,Poor
13,F,5.2,1.924471107,6.835988376,11.47088325,5,0.49982066,Moderate,Good
15,M,0.7,2.630756796,4.36682578,2.747578467,5,0.820804899,Moderate,Excellent
13,F,6.3,2.028168015,7.132290497,2.430842162,4,0.412652538,High,Excellent
14,F,2.5,1.070951076,6.279736751,3.565506749,4,0.827000497,Low,Poor
14,F,8.0,1.538064217,4.267960173,8.411531289,2,0.757741292,High,Good
16,M,8.2,2.027240281,6.0107456,5.989929167,2,0.678438626,High,Poor
18,F,9.8,2.880756976,6.348616121,10.25552379,2,0.329716186,Moderate,Average
17,F,5.0,0.761008377,9.939528948,2.719331515,4,0.630711637,High,Average
13,M,4.5,2.624931176,5.247315232,3.964140868,4,0.506787625,Low,Excellent
13,M,7.5,2.772233416,7.268677692,5.000264055,5,0.461542867,High,Average
15,M,1.3,2.011246544,9.923893295,8.267300867,4,0.990246333,High,Average
18,M,5.5,2.793799882,8.752115248,8.851726903,3,0.50439783,Moderate,Poor
14,F,5.5,1.193635762,9.960205005,3.24203294,3,0.031986205,Low,Poor
17,M,0.9,2.859048528,9.809789888,11.43804709,2,0.626467869,Moderate,Good
16,F,4.2,2.108348631,6.937237253,5.410441352,4,0.728010845,Moderate,Poor
14,M,8.5,0.126017302,8.178255099,9.13168763,3,0.885183869,Low,Good
18,M,8.6,2.720618495,4.662658762,7.242077189,5,0.632684727,Low,Excellent
16,M,1.0,1.453418427,6.64689295,4.227581135,1,0.019457117,High,Poor
15,M,0.9,1.380980954,8.854111254,10.46228323,5,0.119744336,Low,Poor
15,M,2.6,1.699399818,7.032011926,10.18238028,1,0.161240049,Moderate,Poor
13,M,8.7,0.44815364,8.216194197,5.960718539,5,0.211261353,Low,Excellent
18,F,1.3,1.407498146,8.47450798,7.886075857,3,0.799776897,Low,Poor
17,M,7.2,2.49338165,5.520814847,4.578256959,4,0.30976005,Low,Average
16,M,1.0,0.046447377,9.254196238,8.898516287,1,0.312362323,Moderate,Poor
14,M,6.2,0.818751481,6.758934585,5.090268126,4,0.755587441,High,Good
18,M,3.6,0.007363759,5.261110622,10.44078734,4,0.412436575,High,Average
18,F,7.9,1.247133927,9.192495291,4.173851043,3,0.064639532,Moderate,Poor
15,M,2.3,2.184946531,6.506912837,2.148034228,2,0.585126446,High,Poor
13,M,6.4,2.396315487,8.50187463,4.68508042,2,0.130067687,High,Excellent
13,M,2.4,2.835569283,7.288198433,3.910524865,1,0.57166428,Moderate,Good
16,M,7.1,1.825513839,6.291230513,7.082864397,3,0.779638108,Moderate,Average
15,F,8.7,0.7638806,8.85925849,4.037032917,4,0.929489637,High,Average
18,M,1.3,2.772443847,7.50681959,9.631898707,5,0.067052607,Low,Excellent
17,F,8.7,2.325947262,6.343372615,4.41370638,5,0.303966584,High,Average
15,M,5.9,1.723285449,4.657587222,9.069681799,1,0.652463983,Low,Average
16,F,1.3,2.086920647,9.372671883,7.78470923,1,0.315453003,Moderate,Good
16,F,4.3,2.772949065,4.212817512,11.86249856,1,0.451025611,Low,Poor
15,M,1.6,2.137182085,9.17912409,11.99900977,3,0.020090863,Low,Poor
16,M,7.0,1.105123523,6.159769149,10.69526083,5,0.693498006,Low,Average
15,F,7.6,2.139084607,7.836032581,9.599833693,3,0.883280132,Moderate,Good
14,F,1.1,0.120834488,9.533198343,5.86456414,3,0.976859648,High,Excellent
15,M,5.1,1.159246685,4.910239693,9.532767271,4,0.830533349,High,Poor
15,F,8.1,1.218969096,7.401702854,11.56675537,3,0.031776262,Low,Average
16,F,9.4,0.500514703,8.586597174,2.233775754,3,0.651853968,High,Average
16,F,5.1,0.069256442,8.545502996,7.379147002,4,0.495659246,Moderate,Good
13,M,9.5,0.40014371,7.153791488,4.179983044,2,0.937895493,Moderate,Good
13,F,5.4,1.963864487,7.748436759,7.578763159,4,0.902138865,Moderate,Good
14,F,3.9,2.406866449,8.545161965,6.664470898,1,0.988046174,Moderate,Average
13,F,8.5,2.964610478,9.046165827,7.757685816,2,0.861934224,High,Good
15,M,4.9,1.039090509,8.570878581,7.509622214,5,0.546892134,Low,Average
16,M,4.7,1.798137667,6.124029659,11.60107039,3,0.714900515,Low,Poor
13,F,4.9,2.8114349,9.980358406,7.521861089,2,0.964677236,Low,Average
13,M,8.5,0.501125344,6.607016162,10.46232088,5,0.578116728,Moderate,Average
14,F,8.3,2.152936759,4.146788217,5.198202868,4,0.839979187,High,Poor
18,M,4.0,2.264936199,6.17570171,6.381006888,4,0.942209876,High,Good
14,M,3.3,0.266926608,4.766697727,6.70413476,1,0.570537691,High,Good
15,F,4.9,2.583748156,4.728655694,4.787280433,1,0.159154246,High,Average
16,M,5.7,2.439315141,5.689210241,5.797902615,2,0.155563393,High,Average
14,M,2.4,0.10020902,4.320252965,7.985130795,3,0.115317174,High,Poor
13,M,7.9,0.273253245,8.13107313,7.801877633,4,0.47632318,Low,Good
16,F,4.9,0.147380682,4.443933305,8.364353446,2,0.480141578,Moderate,Poor
16,M,3.3,1.004230595,5.219737333,5.518179154,2,0.617371188,Low,Average
13,M,1.1,1.527866972,4.557398287,5.158314952,2,0.482872814,High,Average
14,F,2.4,1.597043184,4.379006385,8.116178828,1,0.973055015,Moderate,Poor
13,M,9.5,0.803000279,5.606509993,3.328617484,4,0.291310821,Moderate,Poor
18,M,3.1,2.73479066,7.431393806,4.530315435,1,0.873816626,Moderate,Excellent
16,M,1.7,1.10478837,9.788113339,2.42127737,1,0.100330428,Moderate,Excellent
17,M,4.6,0.136650468,9.253339926,2.726108526,2,0.601917678,High,Good
17,M,3.1,0.900681335,9.255603553,4.433832793,5,0.648325217,High,Poor
15,F,0.4,1.593328268,5.056402216,2.195292803,5,0.772230127,Moderate,Good
13,F,3.2,1.224665468,5.589443161,4.454105921,5,0.503022213,High,Excellent
13,M,5.4,0.821527557,4.458359901,8.549763231,2,0.197226287,Moderate,Good
15,M,5.5,0.393969749,8.670810039,2.611070785,3,0.368997613,High,Excellent
15,M,3.6,2.4574935,4.418897809,6.367366778,4,0.272161516,Moderate,Poor
15,F,4.5,2.988435726,7.340174025,11.13108787,2,0.419105516,High,Poor
16,F,9.7,0.988626401,5.487253434,9.912848289,2,0.529968308,Low,Good
18,M,3.8,1.144863133,5.460673804,5.054375023,1,0.625070291,Low,Poor
13,M,2.6,1.854112574,9.944350331,11.24805479,5,0.845121945,High,Good
16,F,2.4,2.155324424,8.540678842,5.296464967,2,0.910010321,High,Good
15,M,4.6,1.176088604,9.02163615,2.725154963,3,0.462581285,Low,Excellent
13,F,7.6,2.714788551,7.431896112,11.94055957,4,0.088671437,High,Average
16,F,2.1,1.680011968,9.226085724,10.70022527,3,0.79706519,Moderate,Good
18,M,7.1,1.351170229,7.872943235,6.659327833,2,0.477157725,High,Excellent
16,F,0.2,1.940018259,9.677042229,8.663765242,2,0.546446601,High,Excellent
18,M,4.2,2.858411545,5.688031516,8.712280779,1,0.59579414,Low,Excellent
15,M,7.8,2.383656883,7.571917275,3.944822307,3,0.667867759,Low,Average
18,M,3.4,0.120039392,8.140788088,4.000486332,1,0.89010086,High,Poor
13,M,5.6,0.996929732,6.35762383,6.695807034,3,0.952146195,Moderate,Good
15,M,2.0,1.411634055,9.278247894,11.1157314,5,0.940169319,High,Good
13,M,7.4,0.943552717,9.878818979,2.099937749,5,0.809463652,Moderate,Poor
17,F,0.5,2.100562682,6.962616948,9.825056359,3,0.889242254,Moderate,Poor
14,F,8.5,2.47880745,6.343843929,2.575267837,1,0.049654769,High,Excellent
18,F,2.0,2.194035286,6.831627571,6.782221149,5,0.849112666,Moderate,Excellent
14,F,8.7,2.96799986,9.116420474,8.378728331,2,0.072265237,Low,Poor
14,M,3.5,0.817642944,7.872810553,8.867592671,4,0.746193908,Moderate,Good
18,F,7.2,2.624968485,4.268634235,2.584792636,1,0.169363622,Moderate,Poor
15,F,3.2,2.299867996,7.253019463,6.186036174,3,0.360110446,Moderate,Poor
17,F,9.1,1.086536273,4.103800736,7.838372605,4,0.184183679,Low,Average
13,M,1.3,2.202373631,8.671212226,2.660455373,4,0.443461637,Low,Average
16,F,1.8,0.312227869,5.969873641,3.350945566,2,0.411747444,High,Excellent
13,M,4.9,2.368000447,6.832044893,8.636489895,1,0.048062844,Moderate,Excellent
16,F,0.8,1.596991808,8.792068635,7.216381966,4,0.830497945,Low,Good
13,M,2.0,0.876870518,4.278692904,3.618286613,1,0.854186496,Moderate,Poor
18,M,9.4,1.967331905,4.951249214,7.352393369,2,0.787507244,Moderate,Poor
17,F,9.8,1.924859996,6.387762259,11.12692373,3,0.847606603,High,Average
16,M,3.8,0.628458668,5.379550981,2.155875848,4,0.750879035,Moderate,Good
15,M,9.2,0.091192244,6.027408555,8.426337735,4,0.937484445,Low,Poor
13,F,5.4,1.300867761,9.989048427,2.736504346,4,0.57639225,High,Good
13,F,2.7,1.708535608,8.952486625,2.06449443,1,0.582642547,High,Average
16,F,7.0,2.629815835,9.30341089,3.506544887,4,0.859909908,Moderate,Poor
15,M,6.6,2.784650387,9.622327801,6.229066319,1,0.349415547,Moderate,Average
15,M,9.9,1.586415654,6.045615282,10.02343999,5,0.050082354,Low,Average
18,M,2.7,2.261410451,5.782461747,4.817854966,5,0.749855395,Moderate,Average
18,F,6.7,1.317909817,5.404374955,8.256732124,1,0.254589179,Low,Poor
18,M,0.5,2.23824647,8.980701468,6.11156638,5,0.474235812,Moderate,Good
18,M,1.1,0.614404575,8.077311174,4.34331792,2,0.240439836,Low,Poor
18,M,0.0,1.113194204,5.417031895,7.142471143,2,0.827090852,Moderate,Average
18,M,10.0,1.902683996,6.261962975,9.974644904,5,0.958292965,High,Excellent
17,M,8.0,0.054473897,7.040270584,10.3249237,3,0.055023104,Low,Good
15,M,7.9,2.167383931,7.168840344,10.46519532,1,0.233371631,High,Excellent
18,M,5.1,2.506606504,9.332366371,5.385578126,5,0.189562124,High,Average
15,F,3.0,1.197424983,6.283396798,9.934560647,1,0.673203513,High,Poor
15,F,1.5,1.343827252,9.451144183,4.121784551,5,0.4286784,High,Good
